Q97263158	P8814	"01344517-n"
Q97263158	P5063	"i42409"
Q134684	P8814	"01354094-n"
Q134684	P5063	"i42431"
Q180556	P8814	"01354329-n"
Q180556	P5063	"i42432"
Q115944464	P8814	"01356573-n"
Q115944464	P5063	"i42439"
Q2462359	P8814	"01356790-n"
Q2462359	P5063	"i42440"
Q830142	P8814	"01356965-n"
Q830142	P5063	"i42441"
Q116698041	P8814	"01358727-n"
Q116698041	P5063	"i42446"
Q149098	P8814	"01359100-n"
Q149098	P5063	"i42447"
Q21447348	P8814	"01360776-n"
Q21447348	P5063	"i42455"
Q21442543	P8814	"01360900-n"
Q21442543	P5063	"i42456"
Q1771045	P8814	"01361711-n"
Q1771045	P5063	"i42459"
Q15489312	P8814	"01362129-n"
Q15489312	P5063	"i42462"
Q133966	P8814	"01362971-n"
Q133966	P5063	"i42467"
Q138058	P8814	"01363353-n"
Q138058	P5063	"i42468"
Q131143	P8814	"01363578-n"
Q131143	P5063	"i42469"
Q7041456	P8814	"01364614-n"
Q7041456	P5063	"i42475"
Q146274	P8814	"01364837-n"
Q146274	P5063	"i42476"
Q134834	P8814	"01365410-n"
Q134834	P5063	"i42480"
Q2421263	P8814	"01365640-n"
Q2421263	P5063	"i42481"
Q7577827	P8814	"01366064-n"
Q7577827	P5063	"i42484"
Q4840030	P8814	"01367228-n"
Q4840030	P5063	"i42492"
Q62895839	P8814	"01367963-n"
Q62895839	P5063	"i42495"
Q1003460	P8814	"01368325-n"
Q1003460	P5063	"i42497"
Q15932755	P8814	"01368656-n"
Q15932755	P5063	"i42499"
Q380136	P8814	"01370071-n"
Q380136	P5063	"i42506"
Q140004	P8814	"01372460-n"
Q140004	P5063	"i42519"
Q136644	P8814	"01373554-n"
Q136644	P5063	"i42526"
Q13474598	P8814	"01375013-n"
Q13474598	P5063	"i42534"
Q846309	P8814	"01375185-n"
Q846309	P5063	"i42535"
Q3869074	P8814	"01375913-n"
Q3869074	P5063	"i42539"
Q136808	P8814	"01376081-n"
Q136808	P5063	"i42540"
Q3331319	P8814	"01379442-n"
Q3331319	P5063	"i42559"
Q99299816	P8814	"01380547-n"
Q99299816	P5063	"i42568"
Q21226524	P8814	"01380778-n"
Q21226524	P5063	"i42569"
Q26271235	P8814	"01380987-n"
Q26271235	P5063	"i42570"
Q1365581	P8814	"01381441-n"
Q1365581	P5063	"i42572"
Q1954952	P8814	"01381757-n"
Q1954952	P5063	"i42573"
Q578677	P8814	"01382277-n"
Q578677	P5063	"i42576"
Q110107986	P8814	"01384914-n"
Q110107986	P5063	"i42590"
Q2113650	P8814	"01389135-n"
Q2113650	P5063	"i42613"
Q9358965	P8814	"01391633-n"
Q9358965	P5063	"i42619"
Q6088705	P8814	"01391829-n"
Q6088705	P5063	"i42620"
Q21400186	P8814	"01392516-n"
Q21400186	P5063	"i42622"
Q968988	P8814	"01393268-n"
Q968988	P5063	"i42626"
Q113942	P8814	"01394574-n"
Q113942	P5063	"i42634"
Q175868	P8814	"01396245-n"
Q175868	P5063	"i42644"
Q21447806	P8814	"01396514-n"
Q21447806	P5063	"i42646"
Q2442353	P8814	"01396834-n"
Q2442353	P5063	"i42648"
Q27212391	P8814	"01397542-n"
Q27212391	P5063	"i42653"
Q1202152	P8814	"01399099-n"
Q1202152	P5063	"i42661"
Q1763065	P8814	"01403216-n"
Q1763065	P5063	"i42684"
Q745912	P8814	"01403413-n"
Q745912	P5063	"i42685"
Q2878349	P8814	"01403532-n"
Q2878349	P5063	"i42686"
Q11065859	P8814	"01403937-n"
Q11065859	P5063	"i42688"
Q18674107	P8814	"01404158-n"
Q18674107	P5063	"i42689"
Q16034614	P8814	"01408083-n"
Q16034614	P5063	"i42712"
Q2356588	P8814	"01408903-n"
Q2356588	P5063	"i42717"
Q2132226	P8814	"01409067-n"
Q2132226	P5063	"i42718"
Q132609	P8814	"01410106-n"
Q132609	P5063	"i42723"
Q1367727	P8814	"01410894-n"
Q1367727	P5063	"i42726"
Q1109330	P8814	"01411188-n"
Q1109330	P5063	"i42728"
Q654492	P8814	"01411706-n"
Q654492	P5063	"i42731"
Q310495	P8814	"01411885-n"
Q310495	P5063	"i42732"
Q133008	P8814	"01412306-n"
Q133008	P5063	"i42734"
Q497859	P8814	"01412581-n"
Q497859	P5063	"i42735"
Q150137	P8814	"01412971-n"
Q150137	P5063	"i42737"
Q4271430	P8814	"01413677-n"
Q4271430	P5063	"i42742"
Q1188910	P8814	"01414197-n"
Q1188910	P5063	"i42745"
Q15211115	P8814	"01414368-n"
Q15211115	P5063	"i42746"
Q1208690	P8814	"01414726-n"
Q1208690	P5063	"i42748"
Q14920463	P8814	"01414920-n"
Q14920463	P5063	"i42749"
Q1559048	P8814	"01415120-n"
Q1559048	P5063	"i42750"
Q860112	P8814	"01415566-n"
Q860112	P5063	"i42752"
Q3011489	P8814	"01415712-n"
Q3011489	P5063	"i42753"
Q1307414	P8814	"01415829-n"
Q1307414	P5063	"i42754"
Q14759694	P8814	"01417143-n"
Q14759694	P5063	"i42762"
Q18509172	P8814	"01417482-n"
Q18509172	P5063	"i42764"
Q7321257	P8814	"01417627-n"
Q7321257	P5063	"i42765"
Q2717889	P8814	"01417897-n"
Q2717889	P5063	"i42767"
Q2104475	P8814	"01418034-n"
Q2104475	P5063	"i42768"
Q21447017	P8814	"01419682-n"
Q21447017	P5063	"i42775"
Q3342595	P8814	"01420194-n"
Q3342595	P5063	"i42777"
Q15241090	P8814	"01420448-n"
Q15241090	P5063	"i42779"
Q147258	P8814	"01420623-n"
Q147258	P5063	"i42780"
Q21446496	P8814	"01421435-n"
Q21446496	P5063	"i42785"
Q55706286	P8814	"01421723-n"
Q55706286	P5063	"i42787"
Q87188765	P8814	"01422085-n"
Q87188765	P5063	"i42789"
Q2963624	P8814	"01422641-n"
Q2963624	P5063	"i42793"
Q1759900	P8814	"01422805-n"
Q1759900	P5063	"i42794"
Q309497	P8814	"01422955-n"
Q309497	P5063	"i42795"
Q488032	P8814	"01423805-n"
Q488032	P5063	"i42800"
Q3967020	P8814	"01424137-n"
Q3967020	P5063	"i42802"
Q1147204	P8814	"01425476-n"
Q1147204	P5063	"i42808"
Q795581	P8814	"01425642-n"
Q795581	P5063	"i42809"
Q18692916	P8814	"01426105-n"
Q18692916	P5063	"i42812"
Q21446124	P8814	"01426398-n"
Q21446124	P5063	"i42814"
