wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
01344517-n,prokaryotic bacteria and blue-green algae and various primitive pathogens; because of lack of consensus on how to divide the organisms into phyla informal names are used for the major divisions,i42409,Monera|kingdom Monera|Prokayotae|kingdom Prokaryotae,Q97263158
01354094-n,a genus of helical or curved or straight aerobic bacteria with rounded ends and multiple flagella; found in the gastric mucosa of primates (including humans),i42431,Helicobacter|genus Helicobacter,Q134684
01354329-n,the type species of genus Heliobacter; produces urease and is associated with several gastroduodenal diseases (including gastritis and gastric ulcers and duodenal ulcers and other peptic ulcers),i42432,Helicobacter pylori|H. pylori,Q180556
01356573-n,a species of Gram-negative aerobic bacteria that produce gas and acid from sugars and are sometimes involved in the souring of milk,i42439,Aerobacter aerogenes,Q115944464
01356790-n,a small family of rod-shaped bacteria,i42440,Rhizobiaceae|family Rhizobiaceae,Q2462359
01356965-n,the type genus of Rhizobiaceae; usually occur in the root nodules of legumes; can fix atmospheric oxygen,i42441,Rhizobium|genus Rhizobium,Q830142
01358727-n,one of two usually recognized orders of true bacteria; Gram-positive spherical or rod-shaped forms; some are motile; in some classifications considered an order of Schizomycetes,i42446,Eubacteriales|order Eubacteriales,Q116698041
01359100-n,typically rod-shaped usually Gram-positive bacteria that produce endospores,i42447,Bacillaceae|family Bacillaceae,Q149098
01360776-n,a former classification,i42455,Schizomycetes|class Schizomycetes,Q21447348
01360900-n,"photosynthetic bacteria found in fresh and salt water, having chlorophyll a and phycobilins; once thought to be algae: blue-green algae",i42456,class Cyanobacteria|Cyanophyceae|class Cyanophyceae,Q21442543
01361711-n,blue-green algae,i42459,Nostocaceae|family Nostocaceae,Q1771045
01362129-n,blue green algae,i42462,Oscillatoriaceae|family Oscillatoriaceae,Q15489312
01362971-n,one of two usually recognized orders of true bacteria; Gram-negative spiral or spherical or rod-shaped bacteria usually motile by polar flagella; some contain photosynthetic pigments,i42467,Pseudomonadales|order Pseudomonadales,Q133966
01363353-n,rod-shaped Gram-negative bacteria; include important plant and animal pathogens,i42468,Pseudomonodaceae|family Pseudomonodaceae,Q138058
01363578-n,type genus of the family Pseudomonodaceae,i42469,Pseudomonas|genus Pseudomonas,Q131143
01364614-n,usually rod-shaped bacteria that oxidize ammonia or nitrites: nitrobacteria,i42475,Nitrobacteriaceae|family Nitrobacteriaceae,Q7041456
01364837-n,rod-shaped soil bacteria,i42476,Nitrobacter|genus Nitrobacter,Q146274
01365410-n,free-living coccoid to rod-shaped bacteria that derive energy from oxidizing sulfur or sulfur compounds,i42480,Thiobacteriaceae|family Thiobacteriaceae,Q134834
01365640-n,a genus of motile rod-shaped gram-negative bacteria that metabolizes sulphur (Thiobacillus),i42481,genus Thiobacillus,Q2421263
01366064-n,rigid spirally curved elongate bacteria,i42484,Spirillaceae|family Spirillaceae,Q7577827
01367228-n,family of bacteria living usually in the alimentary canal or on mucous surfaces of warm-blooded animals; sometimes associated with acute infective processes,i42492,Bacteroidaceae|family Bacteroidaceae,Q4840030
01367963-n,the species of bacteria that causes granuloma inguinale,i42495,Calymmatobacterium granulomatis,Q62895839
01368325-n,the type species of the genus Francisella and the causal agent of tularemia in humans; can be used as a bioweapon,i42497,Francisella tularensis,Q1003460
01368656-n,a large family of mostly Gram-positive and aerobic and nonmotile rod-shaped bacteria of the order Eubacteriales,i42499,Corynebacteriaceae|family Corynebacteriaceae,Q15932755
01370071-n,a large family of Gram-negative rod-shaped bacteria of the order Eubacteriales,i42506,Enterobacteriaceae|family Enterobacteriaceae,Q380136
01372460-n,the type species of the genus Serratia; a species found in water and soil and milk and foods and insects; can cause infections of the endocardium and blood and wounds and urinary tract and respiratory tract; has been tested as a bioweapon,i42519,Serratia marcescens,Q140004
01373554-n,pleomorphic Gram-negative microorganisms,i42526,Rickettsiales|order Rickettsiales,Q136644
01375013-n,Gram-negative parasites in warm-blooded vertebrates,i42534,Chlamydiaceae|family Chlamydiaceae,Q13474598
01375185-n,type genus of the family Chlamydiaceae: disease-causing parasites,i42535,genus Chlamydia,Q846309
01375913-n,coextensive with the family Mycoplasmataceae,i42539,Mycoplasmatales|order Mycoplasmatales,Q3869074
01376081-n,pleomorphic Gram-negative nonmotile microorganism similar to both viruses and bacteria; parasitic in mammals,i42540,Mycoplasmataceae|family Mycoplasmataceae,Q136808
01379442-n,a family of bacteria containing tuberculosis (Mycobacterium tuberculosis) and the classic Hansen's strain of leprosy (Mycobacterium leprae) (Mycobacteriaceae),i42559,Mycobacteriaceae|family Mycobacteriaceae,Q3331319
01380547-n,an order of higher bacteria,i42568,order Myxobacteria|Myxobacterales|order Myxobacterales|Myxobacteriales|order Myxobacteriales,Q99299816
01380778-n,bacteria living mostly in soils and on dung,i42569,Polyangiaceae|family Polyangiaceae|Myxobacteriaceae|family Myxobacteriaceae,Q21226524
01380987-n,type genus of the family Polyangiaceae: myxobacteria with rounded fruiting bodies enclosed in a membrane,i42570,Polyangium|genus Polyangium,Q26271235
01381441-n,spherical or elliptical usually aerobic eubacteria that produce yellow or orange or red pigment; includes toxin-producing forms as well as harmless commensals and saprophytes,i42572,Micrococcaceae|family Micrococcaceae,Q1365581
01381757-n,type genus of the family Micrococcaceae,i42573,Micrococcus|genus Micrococcus,Q1954952
01382277-n,lactic acid bacteria and important pathogens; bacteria that ferment carbohydrates chiefly into lactic acid,i42576,Lactobacillaceae|family Lactobacillaceae|Lactobacteriaceae|family Lactobacteriaceae,Q578677
01384914-n,small spirochetes some parasitic or pathogenic,i42590,Treponemataceae|family Treponemataceae,Q110107986
01389135-n,"in most modern classifications, replacement for the Protista; includes: Protozoa, Euglenophyta, Chlorophyta, Cryptophyta, Heterokontophyta, Rhodophyta, unicellular protists and their descendant multicellular organisms: regarded as distinct from plants and animals",i42613,Protoctista|kingdom Protoctista,Q2113650
01391633-n,a division of lower plants comprising unicellular and biflagellate algae that form starchy compounds,i42619,Pyrrophyta|phylum Pyrrophyta,Q9358965
01391829-n,"in some classifications considered a superphylum or a subkingdom; comprises flagellates, ciliates, sporozoans, amoebas, foraminifers",i42620,Protozoa|phylum Protozoa,Q6088705
01392516-n,characterized by the formation of pseudopods for locomotion and taking food: Actinopoda; Rhizopoda,i42622,Sarcodina|class Sarcodina,Q21400186
01393268-n,mostly freshwater protozoa,i42626,Heliozoa|order Heliozoa,Q968988
01394574-n,a large family of endoparasitic amebas that invade the digestive tract,i42634,Endamoebidae|family Endamoebidae,Q113942
01396245-n,a family of fossil protoctists,i42644,Nummulitidae|family Nummulitidae,Q175868
01396514-n,testacean rhizopods,i42646,Testacea|order Testacea,Q21447806
01396834-n,soil and freshwater protozoa; cosmopolitan in distribution,i42648,Arcellidae|family Arcellidae,Q2442353
01397542-n,class of protozoa having cilia or hairlike appendages on part or all of the surface during some part of the life cycle,i42653,Ciliata|class Ciliata|Ciliophora|class Ciliophora,Q27212391
01399099-n,trumpet-shaped protozoa with a ciliated spiral feeding funnel,i42661,genus Stentor,Q1202152
01403216-n,all the yellow-green algae having flagella of unequal length,i42684,Chrysophyceae|class Chrysophyceae|Heterokontae|class Heterokontae,Q1763065
01403413-n,yellow-green algae,i42685,Xanthophyceae|class Xanthophyceae,Q745912
01403532-n,marine and freshwater eukaryotic algae: diatoms,i42686,Bacillariophyceae|class Bacillariophyceae|Diatomophyceae|class Diatomophyceae,Q2878349
01403937-n,yellow-green algae with simple or branching filaments; comprising the single family Tribonemaceae,i42688,Heterotrichales|order Heterotrichales,Q11065859
01404158-n,simple filamentous freshwater yellow-green algae,i42689,Tribonemaceae|family Tribonemaceae,Q18674107
01408083-n,brown algae distinguished by compressed or inflated branchlets along the axis,i42712,Ascophyllum|genus Ascophyllum,Q16034614
01408903-n,coextensive with the division Euglenophyta,i42717,Euglenophyceae|class Euglenophyceae,Q2356588
01409067-n,considered green algae,i42718,Euglenaceae|family Euglenaceae,Q2132226
01410106-n,"algae distinguished chiefly by having flagella and a clear green color, their chlorophyll being masked little if at all by other pigments",i42723,Chlorophyceae|class Chlorophyceae,Q132609
01410894-n,an order of protoctist,i42726,Ulvales|order Ulvales,Q1367727
01411188-n,type genus of the family Ulvaceae; green seaweed having a thallus two cells thick: sea lettuce,i42728,Ulva|genus Ulva,Q1109330
01411706-n,unicellular or colonial biflagellate free-swimming flagellates,i42731,Volvocaceae|family Volvocaceae,Q654492
01411885-n,type genus of the Volvocaceae; minute pale green flagellates occurring in tiny spherical colonies; minute flagella rotate the colony about an axis,i42732,Volvox|genus Volvox,Q310495
01412306-n,type genus of the Chlamydomonadaceae; solitary doubly-flagellated plant-like algae common in fresh water and damp soil; multiply freely; often a pest around filtration plants,i42734,Chlamydomonas|genus Chlamydomonas,Q133008
01412581-n,pond scums; desmids,i42735,Zygnematales|order Zygnematales|Zygnemales|order Zygnemales,Q497859
01412971-n,type genus of the family Zygnemataceae,i42737,Zygnema|genus Zygnema,Q150137
01413677-n,type genus of Chlorococcales; unicellular green algae occurring singly or in a layer on soil or damp rock,i42742,Chlorococcum|genus Chlorococcum,Q4271430
01414197-n,simple or branched filamentous freshwater green algae,i42745,Oedogoniales|order oedogoniales,Q1188910
01414368-n,filamentous green algae,i42746,Oedogoniaceae|family Oedogoniaceae,Q15211115
01414726-n,in some classifications: contains only the order Charales,i42748,Charophyceae|class Charophyceae,Q1208690
01414920-n,small order of macroscopic fresh and brackish water algae with a distinct axis: stoneworts,i42749,Charales|order Charales,Q14920463
01415120-n,green algae superficially resembling horsetail ferns: stoneworts,i42750,Characeae|family Characeae,Q1559048
01415566-n,green algae common in freshwater lakes of limestone districts,i42752,Chara|genus Chara,Q860112
01415712-n,fragile branching stoneworts,i42753,Nitella|genus Nitella,Q3011489
01415829-n,unicellular algae,i42754,Desmidiaceae|family Desmidiaceae,Q1307414
01417143-n,"a genus of protoctist, containing red algae (Chondrus)",i42762,Chondrus|genus Chondrus,Q14759694
01417482-n,a family of protoctist,i42764,Rhodymeniaceae|family Rhodymeniaceae,Q18509172
01417627-n,type genus of the family Rhodymeniaceae,i42765,Rhodymenia|genus Rhodymenia,Q7321257
01417897-n,a family of protoctist containing red algae (Bangiaceae),i42767,Bangiaceae|family Bangiaceae,Q2717889
01418034-n,"a genus of protoctist, containing red algal laver (Porphyra)",i42768,Porphyra|genus Porphyra,Q2104475
01419682-n,in some classifications considered a phylum of the kingdom Protista; in others included in the plant phylum Pyrrophyta,i42775,Dinoflagellata|order Dinoflagellata|Cilioflagellata|order Cilioflagellata,Q21447017
01420194-n,"a genus of protoctist, containing Noctiluca scintillans, or sea sparkle, as its only species (Noctiluca)",i42777,genus Noctiluca,Q3342595
01420448-n,marine and freshwater dinoflagellates,i42779,Peridiniidae|family Peridiniidae,Q15241090
01420623-n,type genus of the family Peridiniidae,i42780,Peridinium|genus Peridinium,Q147258
01421435-n,cellulose-producing flagellates,i42785,Hypermastigina|order Hypermastigina,Q21446496
01421723-n,small usually parasitic flagellates,i42787,Polymastigina|order Polymastigina,Q55706286
01422085-n,a genus of flagellate protoctist,i42789,genus Costia,Q87188765
01422641-n,flagellates parasitic in intestines of vertebrates including humans,i42793,Chilomastix|genus Chilomastix,Q2963624
01422805-n,flagellates free-living or parasitic in intestines of birds,i42794,Hexamita|genus Hexamita,Q1759900
01422955-n,flagellates parasitic in alimentary or genitourinary tracts of vertebrates and invertebrates including humans,i42795,genus Trichomonas,Q309497
01423805-n,motile usually brownish-green protozoa-like algae,i42800,Cryptophyceae|class Cryptophyceae,Q488032
01424137-n,strictly parasitic protozoans that are usually immobile; includes plasmodia and coccidia and piroplasms and malaria parasites,i42802,Sporozoa|class Sporozoa,Q3967020
01425476-n,"a subclass of microscopic, spore-forming, single-celled obligate intracellular parasites belonging to the apicomplexan class Conoidasida (Coccidia)",i42808,Coccidia|order Coccidia,Q1147204
01425642-n,a family of protoctist in the order Coccidia,i42809,Eimeriidae|family Eimeriidae,Q795581
01426105-n,an order in the subclass Telosporidia containing the gregarines (Gregarinida),i42812,Gregarinida|order Gregarinida,Q18692916
01426398-n,"a subclass of apicomplexans which can be divided into two orders, Chromatorida and Achromatorida (Haemosporidia)",i42814,Haemosporidia|order Haemosporidia,Q21446124
01427579-n,type genus of the family Haemoproteidae,i42821,Haemoproteus|genus Haemoproteus,Q5638270
01427977-n,piroplasms and cattle pathogens,i42824,Babesiidae|family Babesiidae,Q18618857
01428142-n,type genus of the family Babesiidae,i42825,genus Babesia|genus Piroplasma,Q797656
01428624-n,imperfectly known parasites of the muscles of vertebrates,i42828,Sarcosporidia|order Sarcosporidia,Q3178497
01428801-n,chief genus of the order Sarcosporidia,i42829,Sarcocystis|genus Sarcocystis,Q2658061
01429107-n,an order in the subclass Acnidosporidia,i42831,Haplosporidia|order Haplosporidia,Q137449
01429646-n,"an order of parasites of worms, distinguished by spores with trivalve shells and three polar capsules (Actinomyxidia)",i42834,Actinomyxidia|order Actinomyxidia,Q21445641
01429882-n,an order in the subclass Cnidosporidia,i42836,Mycrosporidia|order Mycrosporidia|Microsporidia|order Microsporidia,Q132652
01430188-n,"an order in the subclass Cnidosporidia, characterized by complex spores having at least one infective amoeboid sporoplasm and one or more polar capsules containing coiled, extrusible filaments (Myxosporidia)",i42838,Myxosporidia|order Myxosporidia,Q3694990
01441361-n,"a family of fish including: carp, tench, roach, rudd, dace",i42851,Cyprinidae|family Cyprinidae,Q35047
01442985-n,European fishes,i42858,Abramis|genus Abramis,Q282584
01443296-n,tench,i42860,Tinca|genus Tinca,Q15963609
01443590-n,"a genus of fish including: dace, chub",i42862,Leuciscus|genus Leuciscus,Q312225
01444266-n,shiners,i42866,Notropis|genus Notropis,Q2521639
01444696-n,golden shiners,i42869,Notemigonus|genus Notemigonus,Q18650996
01445232-n,rudds,i42873,Scardinius|genus Scardinius,Q302677
01445767-n,true gudgeons,i42877,Gobio|genus Gobio,Q310652
01446039-n,goldfish,i42879,Carassius|genus Carassius,Q237800
01446639-n,small family comprising the electric eels,i42883,Electrophoridae|family Electrophoridae,Q16631805
01446805-n,type genus of the family Electrophoridae; electric eels,i42884,Electrophorus|genus Electrophorus,Q18926800
01447814-n,type genus of the family Catostomidae,i42889,Catostomus|genus Catostomus,Q2271225
01448639-n,a genus of fish in the family Catostomidae,i42895,Maxostoma|genus Maxostoma|Moxostoma|genus Moxostoma,Q2707493
01449642-n,"a genus of killifish, also known as topminnows (Fundulus)",i42900,Fundulus|genus Fundulus,Q2359231
01451137-n,guppies,i42909,Lebistes|genus Lebistes,Q310951
01452227-n,platys,i42915,Platypoecilus|genus Platypoecilus,Q107269289
01452498-n,mollies,i42917,Mollienesia|genus Mollienesia,Q11784877
01452722-n,an order of spiny-finned fish in the superorder Acanthopterygii,i42919,Berycomorphi|order Berycomorphi,Q749596
01452922-n,squirrelfishes and soldierfishes,i42920,Holocentridae|family Holocentridae,Q1335080
01454165-n,a family of fish including: flashlight fishes,i42927,Anomalopidae|family Anomalopidae,Q1346261
01454692-n,a genus of fish in the family Anomalopidae,i42930,Krypterophaneron|genus Krypterophaneron,Q2489985
01455137-n,dories,i42933,Zeomorphi|order Zeomorphi,Q768334
01455274-n,a family of fish in the order Zeomorphi,i42934,Zeidae|family Zeidae,Q1476897
01455595-n,type genus of the family Zeidae,i42936,Zeus|genus Zeus,Q1960850
01455971-n,"a genus of fish in the family Caproidae, commonly known as boarfish (Capros)",i42939,Capros|genus Capros,Q5036326
01456232-n,"a genus of fish in the family Caproidae, commonly known as boarfishes (Antigonia)",i42941,Antigonia|genus Antigonia,Q145289
01456493-n,"bellows fishes, shrimpfishes, cornetfishes, pipefishes; small order of chiefly tropical marine fishes of varied and bizarre form all having a small mouth at the end of a drawn-out tubular snout",i42943,Solenichthyes|order Solenichthyes,Q14364531
01456901-n,cornetfishes,i42944,Fistulariidae|family Fistulariidae,Q9260095
01457782-n,type genus of the family Gasterosteidae,i42949,Gasterosteus|genus gasterosteus,Q134491
01458233-n,pipefishes,i42952,Syngnathidae|family Syngnathidae,Q213534
01458627-n,type genus of the family Syngnathidae,i42954,Syngnathus|genus Syngnathus,Q606703
01458937-n,a genus of fish in the family Syngnathidae,i42956,Cosmocampus|genus Cosmocampus,Q1824775
01459580-n,bellows fishes,i42960,Macrorhamphosidae|family Macrorhamphosidae,Q10672751
01460217-n,trumpetfishes,i42964,Aulostomidae|family Aulostomidae,Q610041
01470316-n,type genus of the Amphioxidae,i43019,genus Amphioxus,Q107268725
01471173-n,sometimes classified as an order: sea squirts,i43023,Ascidiaceae|class Ascidiaceae,Q190090
01471863-n,small class of free-swimming tunicates; sometimes classified as an order,i43027,Thaliacea|class Thaliacea,Q610887
01472227-n,type (perhaps sole) genus of the Salpidae,i43029,genus Salpa,Q3470198
01472527-n,oceanic tunicates,i43031,Doliolidae|family Doliolidae,Q4923287
01472928-n,small free-swimming tunicates; sometimes classified as an order,i43034,Larvacea|class Larvacea,Q26206847
01473227-n,a genus of chordates in the class Larvacea,i43036,genus Appendicularia,Q21444273
01478776-n,extinct order of primitive vertebrates; the precise taxonomy is not clear; in some classifications considered a separate phylum,i43059,Conodonta|order Conodonta|Conodontophorida|order Conodontophorida,Q34613085
01479470-n,primitive jawless aquatic vertebrate: lampreys; hagfishes,i43062,Cyclostomata|order Cyclostomata,Q150893
01480386-n,typical lampreys,i43067,Petromyzon|genus Petromyzon,Q3377629
01481457-n,type genus of the Myxinidae (typical hagfishes),i43072,Myxine|genus Myxine,Q740209
01481970-n,fossil hagfishes,i43076,Myxinikela|genus Myxinikela,Q20859372
01482977-n,cartilaginous fishes,i43082,Chondrichthyes|class Chondrichthyes,Q25371
01483844-n,type genus of the Chimaeridae,i43087,genus Chimaera,Q19240
01485528-n,a genus of Hexanchidae,i43094,Hexanchus|genus Hexanchus,Q311682
01486011-n,in some classifications another name for the family Lamnidae,i43097,Isuridae|family Isuridae,Q35077862
01486348-n,a genus of Lamnidae,i43099,Lamna|genus Lamna,Q137078
01486621-n,mako sharks,i43101,Isurus|genus Isurus,Q171298
01487714-n,comprising only the basking sharks; in some classifications considered the type genus of a separate family Cetorhinidae,i43108,Cetorhinus|genus Cetorhinus,Q2947096
01487947-n,in some older classifications considered the family of the basking sharks,i43109,Cetorhinidae|family Cetorhinidae,Q16542604
01488314-n,thresher sharks,i43111,Alopiidae|family Alopiidae,Q17280257
01489347-n,nurse sharks,i43117,Ginglymostoma|genus Ginglymostoma,Q17283693
01490555-n,whale sharks,i43123,Rhincodon|genus Rhincodon,Q17284129
01491180-n,largest family of living sharks; found worldwide especially in tropical waters; dorsal fin lacks spines: requiem sharks including tiger sharks and soupfin sharks,i43127,Carcharhinidae|family Carcharhinidae,Q48191
01491916-n,type genus of the Carcharhinidae,i43129,Carcharhinus|genus Carcharhinus,Q312359
01493526-n,blue sharks,i43137,Prionace|genus Prionace,Q15695051
01493876-n,tiger sharks,i43139,Galeocerdo|genus Galeocerdo,Q2186811
01494161-n,a genus of Carcharhinidae,i43141,Galeorhinus|genus Galeorhinus,Q608028
01494632-n,small sharks with smooth skins and lacking spines on their dorsal fins,i43144,Triakidae|family Triakidae,Q756279
01494853-n,smooth dogfishes,i43145,Mustelus|genus Mustelus,Q2061110
01495653-n,a genus of Triakidae,i43150,Triaenodon|genus Triaenodon,Q2806074
01496007-n,dogfishes having a spine in each dorsal fin,i43152,Squalidae|family Squalidae,Q1245778
01496829-n,hammerhead sharks; bonnethead sharks,i43157,Sphyrnidae|family Sphyrnidae,Q208490
01496980-n,type genus of the Sphyrnidae,i43158,Sphyrna|genus Sphyrna,Q132998
01497833-n,bottom-dwelling ray-like sharks,i43163,Squatinidae|family Squatinidae,Q15207726
01497981-n,type genus of the Squatinidae: angel sharks,i43164,Squatina|genus Squatina,Q756731
01499585-n,large primitive rays with elongated snouts,i43171,Pristidae|family Pristidae,Q190736
01499919-n,type genus of the Pristidae,i43173,Pristis|genus Pristis,Q683945
01501218-n,butterfly rays,i43181,Gymnura|genus Gymnura,Q3122687
01501902-n,"a genus of Myliobatidae, native to the Atlantic, Pacific, and Indian Oceans (Aetobatus)",i43185,Aetobatus|genus Aetobatus,Q2825690
01502236-n,"a genus of Myliobatidae, commonly known as cownose rays (Rhinoptera)",i43187,Rhinoptera|genus Rhinoptera,Q1428166
01502539-n,large rays lacking venomous spines: mantas,i43189,Mobulidae|family Mobulidae,Q16354702
01503001-n,a genus of Mobulidae,i43191,genus Manta,Q1536199
01503636-n,bottom-dwelling tropical rays: skates,i43195,Rajidae|family Rajidae,Q837104
01519128-n,"a genus of enantiornithine birds, now extinct (Sinornis)",i43223,genus Sinornis,Q19776304
01519519-n,a genus of fossil bird of the subclass Archaeornithes,i43225,genus Ibero-mesornis,Q19622300
01520988-n,a ratite bird order: ostriches and related extinct birds; known from the Pleistocene onward,i43232,Struthioniformes|order Struthioniformes,Q840849
01521205-n,tall terrestrial birds: ostriches,i43233,Struthionidae|family Struthionidae,Q1569770
01521687-n,a ratite bird order: cassowaries and emus,i43236,Casuariiformes|order Casuariiformes,Q19173
01521869-n,a family of large ostrich-like birds including cassowaries,i43237,Casuaridae|family Casuaridae,Q756871
01522360-n,a genus of birds in the order Casuariiformes,i43240,Dromaius|genus Dromaius,Q858264
01522699-n,a ratite bird order: flightless ground birds having vestigial wings and long bills and small eyes: kiwis,i43242,Apterygiformes|order Apterygiformes,Q11085824
01522925-n,coextensive with the order Apterygiformes,i43243,Apterygidae|family Apterygidae,Q3621064
01523838-n,type genus of the Rheidae; large tall flightless South American birds similar to but smaller than ostriches,i43248,genus Rhea,Q19171
01524243-n,a genus of birds of the family Rheidae,i43250,Pterocnemia|genus Pterocnemia,Q6090573
01524621-n,huge extinct flightless birds: elephant birds,i43252,Aepyorniformes|order Aepyorniformes,Q3605955
01524788-n,coextensive with the order Aepyorniformes,i43253,Aepyornidae|family Aepyornidae,Q214508
01524946-n,type genus of the Aepyornidae: elephant birds,i43254,genus Aepyornis,Q2638301
01525430-n,moas,i43257,Dinornithidae|family Dinornithidae,Q15865426
01525593-n,type genus of the Dinornithidae: large moas,i43258,Dinornis|genus Dinornis,Q899705
01529696-n,type genus of the Prunellidae,i43273,Prunella|genus Prunella,Q3924795
01530415-n,type genus of the Alaudidae: skylarks,i43278,Alauda|genus Alauda,Q378278
01531677-n,"finches: goldfinches, bullfinches, chaffinches, siskins, canaries, cardinals, grosbeaks, crossbills, linnets, buntings",i43286,Fringillidae|family Fringillidae,Q160835
01534748-n,in some classifications considered a subgenus of Carduelis: siskins and New World goldfinches,i43299,Spinus|genus Spinus,Q5261336
01535305-n,house finches and purple finches,i43302,Carpodacus|genus Carpodacus,Q843168
01536421-n,crossbill,i43309,Loxia|genus Loxia,Q339517
01537646-n,"a genus of Fringillidae, containing the vesper sparrow (Pooecetes)",i43317,Pooecetes|genus Pooecetes,Q10808271
01538483-n,chipping sparrow; field sparrow; tree sparrow,i43322,Spizella|genus Spizella,Q955626
01539115-n,American song sparrow and swamp sparrow,i43326,Melospiza|genus Melospiza,Q1073612
01540001-n,a genus of small North American finches including the New World buntings,i43331,Passerina|genus Passerina,Q609717
01541139-n,snow bunting,i43338,Plectrophenax|genus Plectrophenax,Q1073197
01541416-n,the honeycreepers,i43340,Coerebidae|family Coerebidae|Dacninae|family Dacninae,Q10749446
01543338-n,large finches,i43352,Coccothraustes|genus Coccothraustes,Q868144
01543610-n,"a genus of Fringillidae, containing the pine grosbeak and the crimson-browed finch (Pinicola)",i43354,Pinicola|genus Pinicola,Q310865
01543902-n,cardinals,i43356,Richmondena|genus Richmondena,Q858444
01545700-n,type genus of the Ploceidae,i43367,Ploceus|genus Ploceus,Q1093619
01545913-n,whydahs,i43369,Vidua|genus Vidua,Q3467715
01546149-n,a genus of Ploceidae,i43371,Padda|genus Padda,Q1094968
01546708-n,grassfinches,i43375,Poephila|genus Poephila,Q1079034
01547185-n,Hawaiian honeycreepers,i43378,Drepanididae|family Drepanididae,Q13167346
01547518-n,a genus of Drepanididae,i43380,Drepanis|genus Drepanis,Q909836
01547944-n,lyrebirds,i43383,Menuridae|family Menuridae,Q13170975
01548393-n,scrubbirds,i43386,Atrichornithidae|family Atrichornithidae,Q12809511
01551955-n,pewees,i43403,Contopus|genus Contopus,Q868932
01552674-n,a genus of Tyrannidae including the scarlet flycatcher,i43408,Pyrocephalus|genus Pyrocephalus,Q15881075
01554190-n,type genus of the Pipridae containing the typical manakins,i43417,Pipra|genus Pipra,Q1195360
01554556-n,bellbirds,i43419,Procnias|genus Procnias,Q1079212
01554833-n,a genus of Cotingidae,i43421,Cephalopterus|genus Cephalopterus,Q859561
01555295-n,type genus of the family Furnariidae: ovenbirds,i43424,Furnarius|genus Furnarius,Q429074
01555597-n,antbirds,i43426,Formicariidae|family Formicariidae,Q461021
01556021-n,type genus of the Formicariidae,i43428,Formicarius|genus Formicarius,Q1002963
01556261-n,"a genus of Formicariidae, containing the antshrikes (Thamnophilus)",i43430,Thamnophilus|genus Thamnophilus,Q375593
01556520-n,a genus of Formicariidae,i43432,Hylophylax|genus Hylophylax,Q539321
01556952-n,type genus of the Dendrocolaptidae,i43435,Dendrocolaptes|genus Dendrocolaptes,Q903934
01557466-n,type genus of the Pittidae; a large genus of birds of southern Asia and Australia and adjacent islands,i43438,genus Pitta,Q3389415
01558681-n,type genus of the Muscicapidae,i43444,Muscicapa|genus Muscicapa,Q1088541
01561935-n,American thrush: wood thrush; hermit thrush; veery,i43460,Hylocichla|genus Hylocichla,Q10770214
01563152-n,Old World chats,i43468,Saxicola|genus Saxicola,Q906092
01563700-n,solitaires,i43472,Myadestes|genus Myadestes,Q1088544
01563959-n,"a genus of Old World thrushes, containing some of the redstarts (Phoenicurus)",i43474,Phoenicurus|genus Phoenicurus,Q240088
01564757-n,"a genus of Old World thrushes, containing the robins (Erithacus)",i43480,Erithacus|genus Erithacus,Q855800
01565225-n,in some classifications considered a subfamily (Sylviinae) of the family Muscicapidae: Old World (true) warblers; American kinglets and gnatcatchers,i43483,Sylviidae|family Sylviidae,Q187014
01566220-n,a genus of birds of the family Sylviidae including kinglets,i43488,Regulus|genus Regulus,Q208716
01567271-n,type genus of the Sylviidae: warblers,i43494,Silvia|genus Silvia,Q15931206
01567879-n,warblers,i43498,Phylloscopus|genus Phylloscopus,Q214627
01568121-n,"a genus of Sylviidae, commonly known as marsh warblers and reed warblers (Acrocephalus)",i43500,Acrocephalus|genus Acrocephalus,Q637716
01569150-n,type genus of the Timaliidae,i43507,Timalia|genus Timalia,Q10826912
01569529-n,New World warblers,i43509,Parulidae|family Parulidae,Q739200
01570171-n,type genus of the Parulidae: wood warblers,i43511,Parula|genus Parula,Q980233
01571134-n,a genus of Parulidae,i43517,Dendroica|genus Dendroica,Q13571873
01572354-n,New World chats,i43524,Icteria|genus Icteria,Q10772647
01573610-n,birds of paradise,i43533,Paradisaeidae|family Paradisaeidae,Q179333
01573938-n,a genus of Paradisaeidae,i43535,Ptiloris|genus Ptiloris,Q1080561
01574815-n,type genus of the Icteridae,i43539,Icterus|genus Icterus,Q1424573
01575551-n,a genus of passerine birds including the meadowlarks,i43544,Sturnella|genus Sturnella,Q1431050
01576124-n,a genus of tropical American orioles,i43548,Cacicus|genus Cacicus,Q1821411
01576416-n,bobolinks,i43550,Dolichonyx|genus Dolichonyx,Q10756454
01576911-n,grackles,i43553,Quiscalus|genus Quiscalus,Q612008
01577911-n,red-winged blackbirds,i43560,Agelaius|genus Agelaius,Q2003332
01578853-n,a genus of Old World orioles,i43566,Sphecotheres|genus Sphecotheres,Q2417877
01579147-n,Old World starlings,i43568,Sturnidae|family Sturnidae,Q185237
01580727-n,a genus containing the hill mynas (Gracula),i43577,Gracula|genus Gracula,Q259424
01583285-n,New World jays,i43593,Cyanocitta|genus Cyanocitta,Q826027
01583682-n,Canada jays,i43596,Perisoreus|genus Perisoreus,Q953996
